,0,1,2,3,4,5
74,2.752,0.6107,-0.9951,-2.338,-7.739,-3.9
75,2.662,0.5865,-1.61,-2.262,-9.356,-3.8489999999999998
76,2.6660000000000004,0.5887,-1.22,-2.5469999999999997,-8.224,-4.19
77,2.781,0.5173,-0.3315,-2.938,-6.29,-4.6739999999999995
78,2.793,0.4653,-0.1913,-3.069,-6.148,-4.803999999999999
79,2.785,0.4463,-0.08996,-3.148,-5.947,-4.9719999999999995
80,2.798,0.4318,0.2276,-3.217,-5.21,-5.109
81,2.7889999999999997,0.4368,0.4411,-3.205,-4.649,-5.18
82,2.767,0.5067,0.548,-3.135,-4.202,-5.2
83,2.737,0.5482,0.6943,-3.0260000000000002,-3.658,-5.185
84,2.698,0.5443,0.7893,-2.863,-3.343,-5.112
85,2.6510000000000002,0.5893,0.8758,-2.617,-2.931,-4.971
86,2.592,0.6579,0.9481,-2.356,-2.434,-4.815
87,2.523,0.7309,1.0,-2.065,-1.9340000000000002,-4.631
88,2.4459999999999997,0.8136,1.018,-1.749,-1.466,-4.418
89,2.363,0.9011,1.021,-1.422,-0.9942,-4.192
90,2.281,0.9644,1.072,-1.101,-0.4218,-3.965
91,2.1959999999999997,1.046,1.071,-0.7735,0.05318,-3.7260000000000004
92,2.103,1.153,1.0090000000000001,-0.4491,0.4634,-3.484
93,2.006,1.242,0.9473,-0.1476,0.8758,-3.2539999999999996
94,1.9240000000000002,1.2990000000000002,0.9337,0.1036,1.305,-3.056
95,1.847,1.35,0.925,0.3357,1.713,-2.867
96,1.78,1.38,0.9401,0.5222,2.112,-2.707
97,1.7069999999999999,1.399,1.099,0.687,2.9389999999999996,-2.5540000000000003
98,1.73,1.3619999999999999,1.35,0.7128,3.4539999999999997,-2.53
99,1.709,1.3330000000000002,1.528,0.7427,3.987,-2.47
100,1.6130000000000002,1.321,1.1440000000000001,0.7806,3.279,-2.379
101,1.56,1.272,1.062,0.771,3.154,-2.334
102,1.5490000000000002,1.1909999999999998,1.171,0.6589,3.3289999999999997,-2.362
103,1.5290000000000001,1.107,1.24,0.5088,3.425,-2.418
104,1.518,1.008,1.3459999999999999,0.3054,3.557,-2.509
105,1.5119999999999998,0.8982,1.463,0.05226,3.685,-2.635
106,1.409,0.8251,1.063,-0.1776,2.885,-2.7060000000000004
107,1.36,0.7174,1.051,-0.4737,2.8739999999999997,-2.865
108,1.476,0.5325,1.959,-0.9151,4.532,-3.165
109,1.52,0.3947,2.419,-1.367,5.372000000000001,-3.452
110,1.506,0.2706,2.521,-1.796,5.52,-3.714
111,1.5130000000000001,0.1327,2.7460000000000004,-2.2319999999999998,5.87,-3.985
112,1.49,0.028489999999999998,2.825,-2.673,6.065,-4.2589999999999995
113,1.463,-0.0833,2.892,-3.1039999999999996,6.225,-4.524
114,1.508,-0.2027,3.335,-3.593,7.117999999999999,-4.865
115,1.49,-0.2993,3.3989999999999996,-4.018,7.275,-5.118
116,1.3359999999999999,-0.3509,2.54,-4.346,5.571000000000001,-5.261
117,1.219,-0.4091,2.178,-4.606,5.051,-5.379
118,1.133,-0.4744,2.124,-4.902,5.325,-5.517
119,1.069,-0.5432,1.7619999999999998,-5.2010000000000005,4.513999999999999,-5.672000000000001
120,0.9895,-0.6006,1.565,-5.437,4.3180000000000005,-5.763
121,0.9203,-0.657,1.364,-5.656000000000001,4.032,-5.858
122,0.8534,-0.7098,1.131,-5.796,3.572,-5.888
123,0.7807,-0.7527,0.9366,-5.917000000000001,3.307,-5.921
124,0.7598,-0.8106,1.0959999999999999,-6.087999999999999,3.818,-6.011
125,0.756,-0.8731,1.214,-6.227,4.018,-6.08
126,0.7368,-0.9189,1.197,-6.279,3.889,-6.082000000000001
127,0.7276,-0.9622,1.242,-6.306,3.8819999999999997,-6.0760000000000005
128,0.7219,-1.0,1.288,-6.292999999999999,3.842,-6.044
129,0.7188,-1.033,1.334,-6.245,3.784,-5.992000000000001
130,0.6469,-1.067,1.136,-6.181,3.4410000000000003,-5.917999999999999
131,0.6092,-1.087,1.111,-6.047000000000001,3.408,-5.797000000000001
132,0.7096,-1.102,1.492,-5.903,3.6210000000000004,-5.71
133,0.6983,-1.087,1.538,-5.744,3.7310000000000003,-5.59
134,0.6597,-1.064,1.423,-5.53,3.5010000000000003,-5.428999999999999
135,0.6526,-1.045,1.251,-5.315,2.9810000000000003,-5.2589999999999995
136,0.6116,-1.01,1.168,-5.083,2.858,-5.09
137,0.5527,-0.9756,1.114,-4.871,2.935,-4.953
138,0.4737,-0.9141,0.7311,-4.646,2.307,-4.783
139,0.3881,-0.8719,0.4735,-4.477,2.046,-4.681
140,0.3403,-0.8584,0.4787,-4.352,2.222,-4.624
141,0.2784,-0.8349,0.3795,-4.26,2.227,-4.595
